timestamp ba_x ba_y ba_z bg_x bg_y bg_z
2770.460000 -0.72656778 -0.40905528 0.04477774 -0.00002716 -0.00261262 0.00123645
2770.528000 -0.72656777 -0.40905529 0.04477773 -0.00268397 0.00098692 -0.00139808
2770.600000 -0.72656777 -0.40905529 0.04477772 -0.00240034 -0.00047770 -0.00061956
2770.660000 -0.72656776 -0.40905525 0.04477763 0.00099335 0.00189189 -0.00011538
2770.724000 -0.72656779 -0.40905516 0.04477761 0.00040651 0.00301223 -0.00079531
2770.796000 -0.72656776 -0.40905516 0.04477756 -0.00012428 0.00153429 -0.00110839
2770.864000 -0.72656773 -0.40905511 0.04477761 -0.00076140 -0.00258591 -0.00040147
2770.972000 -0.72656753 -0.40905493 0.04477743 0.00090903 0.00152200 0.00076283
2771.028000 -0.72656754 -0.40905489 0.04477742 -0.00035936 -0.00082986 -0.00005611
2771.100000 -0.72656752 -0.40905490 0.04477738 -0.00268630 -0.00010015 -0.00037206
2771.200000 -0.72656743 -0.40905471 0.04477736 0.00067469 -0.00033429 0.00044479
2771.264000 -0.72656719 -0.40905466 0.04477739 -0.00027446 -0.00076383 0.00138568
2771.360000 -0.72656717 -0.40905457 0.04477737 0.00019092 -0.00111278 -0.00014019
2771.456000 -0.72656714 -0.40905429 0.04477738 0.00101765 -0.00034730 0.00285501
2771.516000 -0.72656725 -0.40905415 0.04477742 0.00521685 0.00250108 -0.00017294
2771.568000 -0.72656724 -0.40905414 0.04477742 -0.00202505 -0.00041231 0.00108724
2771.628000 -0.72656733 -0.40905416 0.04477745 -0.00048616 -0.00198099 0.00070934
2771.696000 -0.72656711 -0.40905409 0.04477742 0.00146640 0.00049658 0.00342313
2771.800000 -0.72656703 -0.40905432 0.04477744 0.00098490 0.00020723 0.00068195
2771.944000 -0.72656734 -0.40905426 0.04477742 0.01197889 0.00168568 0.00141746
2771.968000 -0.72656684 -0.40905387 0.04477651 -0.00373031 -0.00000058 0.00442945
2772.060000 -0.72656726 -0.40905451 0.04477778 0.01168916 0.00150795 0.00006752
2772.204000 -0.72656722 -0.40905451 0.04477778 -0.00797155 -0.00374598 0.00094496
2772.268000 -0.72656721 -0.40905447 0.04477777 0.00355100 0.00201443 0.00299368
